Player,Nation,Position,Team,Age,Match,Minutes,Goals,Assists,Yellow_Cards,Red_Cards
Max Aarons,ENG,Defender (DF),Valencia,24,4,120,0,0,2,0
Rodrigo Abajas,ESP,Defender (DF),Valencia,21,1,65,0,0,1,0
Abel,ESP,Defender (DF),Osasuna,23,35,2074,2,0,3,0
Nabil Aberdin,FRA,Midfielder (MF),Getafe,21,7,263,0,0,1,0
Abdel Abqar,MAR,Defender (DF),Alavés,25,29,2463,0,1,13,0
Akor Adams,NGA,Forward (FW),Sevilla,24,4,134,0,0,0,0
Adrián,ESP,Goalkeeper (GK),Betis,37,19,1710,0,0,3,0
Julen Agirrezabala,ESP,Goalkeeper (GK),Athletic Club,23,14,1206,0,0,1,1
Lucien Agoume,FRA,Midfielder (MF),Sevilla,22,35,2114,1,3,5,1
Ãlvaro Aguado,ESP,Midfielder (MF),Espanyol,28,16,443,0,1,3,0
Lorenzo Aguado,ESP,Defender (DF),Real Madrid,21,2,5,0,0,0,0
Nayef Aguerd,MAR,Defender (DF),Real Sociedad,28,21,1760,0,0,5,0
Joseph Aidoo,GHA,Defender (DF),Valladolid,28,8,583,0,0,0,0
Joseph Aidoo,GHA,Defender (DF),Celta Vigo,28,1,2,0,0,0,0
Ilias Akhomach,MAR,Midfielder (MF),Villarreal,20,11,584,1,0,1,0
David Alaba,AUT,Defender (DF),Real Madrid,32,7,317,0,0,1,0
Ibrahim Alani,NGA,Midfielder (MF),Valladolid,18,3,160,0,0,0,0
Raúl Albiol,ESP,Defender (DF),Villarreal,38,15,1188,0,0,5,0
Omar Alderete,PAR,Defender (DF),Getafe,27,34,2971,1,0,8,0
Carles Aleñá,ESP,Midfielder (MF),Getafe,26,10,452,0,0,1,0
Carles Aleñá,ESP,Midfielder (MF),Alavés,26,14,1090,0,2,1,0
Alfon,ESP,Forward (FW),Celta Vigo,25,26,1371,5,2,1,1
Tadeo Allende,ARG,Forward (FW),Celta Vigo,25,1,2,0,0,1,0
Domingos André Ribeiro Almeida,POR,Midfielder (MF),Valencia,24,34,1977,0,4,2,0
Iker Almena,ESP,Forward (FW),Girona,20,2,48,0,1,0,0
Marcos Alonso,ESP,Defender (DF),Celta Vigo,33,31,2647,3,0,10,2
Adrià Altimira,ESP,Defender (DF),Leganés,23,22,1630,0,0,6,0
Sergi Altimira,ESP,Midfielder (MF),Betis,22,32,1972,0,1,4,0
Hugo Álvarez,ESP,Midfielder (MF),Celta Vigo,21,26,1572,4,3,6,0
Julián Álvarez,ARG,Forward (FW),Atlético Madrid,24,37,2509,17,4,5,0
Yeray Álvarez,ESP,Defender (DF),Athletic Club,29,21,1781,1,0,4,0
Selim Amallah,MAR,Midfielder (MF),Valladolid,27,24,1376,3,1,6,0
Amath,SEN,Forward (FW),Valladolid,28,13,375,0,1,1,0
Marcos André,BRA,Forward (FW),Valladolid,27,22,1188,1,2,5,0
Leandro Antonetti,PUR,Forward (FW),Sevilla,21,2,28,0,0,0,0
Antoniu,ESP,Forward (FW),Espanyol,21,26,1022,0,1,3,0
Antony,BRA,Forward (FW),Betis,24,17,1362,5,2,2,1
Anuar,MAR,Midfielder (MF),Valladolid,29,26,1720,2,0,7,0
Aritz Arambarri,ESP,Defender (DF),Leganés,26,2,177,0,0,0,0
Mauro Arambarri,URU,Midfielder (MF),Getafe,28,35,2661,10,0,10,0
Jon Aramburu,VEN,Defender (DF),Real Sociedad,22,35,2460,1,1,8,0
Ronald Araújo,URU,Defender (DF),Barcelona,25,12,754,1,1,3,0
Adu Ares,ESP,Forward (FW),Athletic Club,22,1,19,0,0,0,0
Jesús Areso,ESP,Defender (DF),Osasuna,25,36,3079,0,3,9,0
David Argüelles,ESP,Midfielder (MF),Getafe,22,1,7,0,0,0,0
José Arnaiz,ESP,Forward (FW),Osasuna,29,15,133,0,0,0,0
Sergio Arribas,ESP,Defender (DF),Betis,21,1,90,0,0,0,0
Takuma Asano,JPN,Forward (FW),Mallorca,29,21,1054,2,1,0,0
Raúl Asencio,ESP,Defender (DF),Real Madrid,21,23,1670,0,1,3,0
Iago Aspas,ESP,Forward (FW),Celta Vigo,36,30,1745,10,5,6,1
Yaser Asprilla,COL,Forward (FW),Girona,20,27,1405,3,1,2,0
Ezequiel Ávila,ARG,Forward (FW),Betis,30,19,677,2,0,5,1
Adam Aznou,MAR,Defender (DF),Valladolid,18,13,876,0,0,1,0
César Azpilicueta,ESP,Defender (DF),Atlético Madrid,34,14,875,1,0,1,0
Papa Ba,ESP,Midfielder (MF),Girona,19,1,48,0,0,0,0
Loïc Bade,FRA,Defender (DF),Sevilla,24,32,2686,1,1,7,1
Alex Baena,ESP,Midfielder (MF),Villarreal,23,32,2595,7,9,9,0
Juma Bah,SLE,Defender (DF),Valladolid,18,12,864,0,0,1,0
Eric Bailly,CIV,Defender (DF),Villarreal,30,12,617,0,0,2,1
Stefan Bajcetic,ESP,Midfielder (MF),Las Palmas,19,14,969,1,0,4,0
Cédric Bakambu,COD,Forward (FW),Betis,33,25,710,2,2,4,0
Alejandro Balde,ESP,Defender (DF),Barcelona,20,32,2284,0,4,2,0
Iván Balliu,ALB,Defender (DF),Rayo Vallecano,32,25,1200,0,0,3,0
Jonathan Bamba,CIV,Forward (FW),Celta Vigo,28,12,811,0,1,1,0
